class_name,class_original_classification,classification_final_list
A-FP,category,is
A_-_LPF_Source_Connected,role,is
A_-_Layer_Processor_Sink_Connected,role,can
A_Sk_-_Termination_Sink_Connected,role,can
A_Sk_-_Uni_Matrix_Connected,role,is
A_Sk_-_Uni_Subnetwork_Connected,role,is
A_Sk_Input_-_Sk_AP_Bound,role,can
A_Sk_Output_-_A-FP_Bound,role,can
A_Sk_Output_-_Sk_A-FEP_Bound,role,can
A_Sk_Output_-_Sk_LP-FP_Bound,role,is
A_Sk_Output_-_Sk_M-FP_Bound,role,is
A_Sk_Output_-_Sk_SN-FP_Bound,role,can
A_So_-_Adaptation_Sink_Connected,role,is
A_So_-_Termination_Source_Connected,role,is
A_So_-_Uni_Matrix_Connected,role,can
A_So_-_Uni_Subnetwork_Connected,role,is
A_So_Input_-_A-FP_Bound,role,can
A_So_Input_-_So_A-FEP_Bound,role,is
A_So_Input_-_So_L-FP_Bound,role,is
A_So_Input_-_So_M-FP_Bound,role,can
A_So_Input_-_So_SN-FP_Bound,role,is
A_So_Output_-_So_AP_Bound,role,can
Access_Group,kind,is
Access_Point,category,is
Access_Transport_Entity,kind,is
Active_Bidirectional_AP,role,is
Active_Bidirectional_PM-FEP_-_PM_LC_Connected,role,is
Active_Bidirectional_PM-FEP_-_PM_NC_Connected,role,is
Active_Bidirectional_Path_FEP_-_Path_NC_Connected,rolemixin,is
Active_End_Bidirectional_SN-FEP,role,is
Active_Intermediate_Bidirectional_M-FP,role,can
Active_Intermediate_Bidirectional_SN-FP,role,is
Active_Path_Bidirectional_M-FEP,role,can
Active_Path_Bidirectional_M-FP,role,is
Active_Path_Bidirectional_SN-FEP,role,can
Active_Path_Bidirectional_SN-FP,role,is
Active_Possible_Bi_LC_Connected_RP,rolemixin,can
Active_Sink_AP,role,can
Active_Sk_M-FEP_-_Sk_MC_connected,role,can
Active_Sk_M-FP_-_Int_MC_connected,role,is
Active_Sk_M-FP_-_Sk_MC_connected,role,can
Active_Sk_PM-FEP_-_PM_LC_connected,role,is
Active_Sk_PM-FEP_-_PM_NC_connected,role,can
Active_Sk_Path-FEP_-_Path_NC_connected,rolemixin,can
Active_Sk_SN-FEP_-_End_CFTE_connected,role,is
Active_Sk_SN-FEP_-_Sk_CFTE_connected,role,is
Active_Sk_SN-FP_-_Int_CFTE_connected,role,is
Active_Sk_SN-FP_-_Sk_CFTE_connected,role,can
Active_So_M-FEP_-_So_MC_connected,role,is
Active_So_M-FP_-_Int_MC_connected,role,is
Active_So_M-FP_-_So_MC_connected,role,can
Active_So_PM-FEP_-_PM_LC_connected,role,can
Active_So_PM-FEP_-_PM_NC_connected,role,is
Active_So_Path-FEP_-_Path_NC_connected,rolemixin,is
Active_So_SN-FEP_-_End_CFTE_connected,role,is
Active_So_SN-FEP_-_So_CFTE_connected,role,is
Active_So_SN-FP_-_Int_CFTE_connected,role,can
Active_So_SN-FP_-_So_CFTE_connected,role,is
Active_Source_AP,role,is
Adaptation_Function,kind,is
Adaptation_Sink,subkind,can
Adaptation_Sink_-_A_So_Connected,role,can
Adaptation_Sink_-_T_Sk_Connected,role,can
Adaptation_Sink_Input,kind,can
Adaptation_Sink_Output,kind,is
Adaptation_Sk_Bidirectional_Component,subkind,can
Adaptation_So_Bidirectional_Component,subkind,is
Adaptation_Source,subkind,is
Adaptation_Source_-_T_So_Connected,role,can
Adaptation_Source_Input,kind,is
Adaptation_Source_Output,kind,is
Ag_PM_-_Bidirectional_Termination_Connected,role,is
Aggregated_Physical_Media,kind,is
Architectural_Component,category,is
Bi_A_-_Bi_Matrix_Connected,role,can
Bi_A_-_Bi_Subnetwork_Connected,role,is
Bi_A_-_Bidirectional_Termination_Connected,role,is
