execution_number,input_class_name,input_class_stereotype
1,Administrative_Department,subkind
2,Administrative_Organization,subkind
3,Advisory,subkind
4,Allocated_Department,role
5,Allocated_Office,role
6,Allocation_Unit,role
7,Board,subkind
8,Border_Station,phase
9,Central_Office,phase
10,Department,subkind
11,Diagnostic_Laboratory,subkind
12,Local_Office,phase
13,Mobile_Unit,subkind
14,Office,subkind
15,Operational_Organization,subkind
16,Organization,kind
17,Regional_Office,phase
18,Section,subkind
19,Service_Station,phase
20,Station,subkind
21,Technical_Department,subkind
