execution_number,input_class_name,input_class_stereotype
1,Active_Car_Rental_Agreement,phase
2,Adult,phase
3,Branch,subkind
4,Car,kind
5,Car_Agency,subkind
6,Car_Manufacturer,role
7,Car_Needing_Maintenance,phase
8,Car_Needing_Repair,phase
9,Car_Rental_Agreement,kind
10,Car_Rental_Agreement_Closed_With_Damage,role
11,Car_Returned_with_Damage,role
12,Car_Scheduled_for_Maintenance,role
13,Car_Scheduled_for_Repair,role
14,Cargo_Car,subkind
15,Child,role
16,Closed_Car_Rental_Agreement,phase
17,Corporate_Customer,role
18,Customer,rolemixin
19,Deceased_Person,phase
20,Driver,role
21,Employee,role
22,Extented_Car_Rental_Agreement,phase
23,Functional_Car,phase
24,Governmental_Agency,subkind
25,Infant,phase
26,Insurable_Item,mixin
27,Insurance_Company,role
28,Insured_Driver,role
29,Junior_Employee,role
30,Licensing_Authority,subkind
31,Living_Person,phase
32,Man,subkind
33,Mid-level_Employee,role
34,Organization,kind
35,Organization_Unit,subkind
36,Parent,role
37,Passenger_Car,subkind
38,Person,kind
39,Personal_Customer,role
40,Receiver_Branch,role
41,Sender_Branch,role
42,Senior_Employee,role
43,Service_Depot,subkind
44,Spouse,role
45,Teenage,phase
46,Trainee,role
47,Transferred_Car,role
48,Woman,subkind
