execution_number,input_class_name,input_class_stereotype
1,M�dico,role
2,Pessoa,kind
3,Pessoa_Morta,phase
4,Pessoa_Possivelmente_com_COVID-19_segundo_ECDC,role
5,Pessoa_Provavelmente_com_COVID-19_segundo_ECDC,role
6,Pessoa_Viva,phase
7,Pessoa_com_COVID-19,phase
8,Pessoa_com_COVID-19_Assintom�tica,phase
9,Pessoa_com_COVID-19_Confirmada_segundo_ECDC,role
10,Pessoa_com_COVID-19_Confirmada_segundo_OMS,role
11,Pessoa_com_COVID-19_Sintom�tica,phase
12,Pessoa_com_Prov�vel_COVID-19_segundo_OMS,role
13,Pessoa_com_Suspeita_de_COVID_segundo_OMS,role
14,Profissional_da_Sa�de,role
