execution_number,input_class_name,input_class_stereotype
1,Administrative_Department,subkind
2,Administrative_Organization,subkind
3,Advisory,subkind
4,Allocated_Department,role
5,Allocated_Office,role
6,Board,subkind
7,Border_Station,phase
8,Central_Office,phase
9,Department,subkind
10,Diagnostic_Laboratory,subkind
11,Local_Office,phase
12,Mobile_Unit,subkind
13,Office,subkind
14,Operational_Organization,subkind
15,Organization,kind
16,Regional_Office,phase
17,Section,subkind
18,Service_Station,phase
19,Station,subkind
20,Technical_Department,subkind
