execution_number,input_class_name,input_class_stereotype
1,Abiotic_Component,category
2,Agent,category
3,Agent_in_Social_Relation,rolemixin
4,Atomic_Installation,subkind
5,Authority,category
6,Biotic_Component,category
7,Built_Component,category
8,Business_Emergency_Human_Resource,role
9,Business_Emergency_Material_Resource,rolemixin
10,Business_Human_Resource,role
11,Business_Non_Emergency_Human_Resource,role
12,Businessman,role
13,Civil_Defense_Organization,kind
14,Collective_Social_Agent,category
15,Complex_Installation,subkind
16,Component,category
17,Delegatee,rolemixin
18,Delegator,rolemixin
19,EP_Agent,category
20,EP_Agent_delegatee,role
21,EP_Agent_delegator,role
22,Emergency_Team,kind
23,Endangered_Component,rolemixin
24,Environmental_Component,category
25,Environmental_Physical_Component,category
26,Environmental_Social_Component,category
27,Evacuation_Geographical_Region,role
28,Evacuation_Installation,role
29,Evacuation_Local,rolemixin
30,Geographical_Point,category
31,Geographical_Region,category
32,Holder,rolemixin
33,Human_Resource,role
34,Individual_Social_Agent,category
35,Installation,kind
36,Jurisdiction,category
37,Macro_Political_Region,category
38,Material_Resource,category
39,Micro_Political_Region,category
40,Natural_Component,category
41,Non_Political_Region,category
42,Normatized_Social_Object,mixin
43,Organization,category
44,Organization_Holder,role
45,Owner,rolemixin
46,Person,kind
47,Person_Holder,role
48,Physical_Agent,category
49,Physical_Component,category
50,Political_Body,category
51,Political_Region,category
52,Protector,rolemixin
53,Public_Emergency_Human_Resource,role
54,Public_Emergency_Material_Resource,rolemixin
55,Safe_Component,rolemixin
56,Social_Agent,category
57,Social_Component,category
58,Spatial_Location,category
59,Under_Protection_Component,rolemixin
60,User,role
61,Visitor,role
