taxonomy_name,percentage,execution_number
abrahao2018agriculture-operations_tx002.ttl,100,1
abrahao2018agriculture-operations_tx003.ttl,100,1
aguiar2019ooco_tx001.ttl,100,1
aires2022valuenetworks-geo_tx002.ttl,100,1
aires2022valuenetworks-geo_tx003.ttl,100,1
alpinebits2022_tx010.ttl,100,1
amaral2019rot_tx002.ttl,100,1
amaral2019rot_tx003.ttl,100,1
andrade2023integracao_tx001.ttl,100,1
andrade2023integracao_tx002.ttl,100,1
aristotle-ontology2019_tx001.ttl,100,1
aristotle-ontology2019_tx004.ttl,100,1
aristotle-ontology2019_tx005.ttl,100,1
aristotle-ontology2019_tx007.ttl,100,1
aristotle-ontology2019_tx008.ttl,100,1
aristotle-ontology2019_tx009.ttl,100,1
aristotle-ontology2019_tx010.ttl,100,1
aristotle-ontology2019_tx011.ttl,100,1
aristotle-ontology2019_tx013.ttl,100,1
aristotle-ontology2019_tx014.ttl,100,1
aristotle-ontology2019_tx015.ttl,100,1
aristotle-ontology2019_tx017.ttl,100,1
aristotle-ontology2019_tx018.ttl,100,1
aristotle-ontology2019_tx019.ttl,100,1
aristotle-ontology2019_tx020.ttl,100,1
bank-model_tx002.ttl,100,1
bank-model_tx003.ttl,100,1
barcelos2013normative-acts_tx001.ttl,100,1
barcelos2013normative-acts_tx004.ttl,100,1
barcelos2013normative-acts_tx007.ttl,100,1
barcelos2015transport-networks_tx004.ttl,100,1
barcelos2015transport-networks_tx006.ttl,100,1
barcelos2015transport-networks_tx007.ttl,100,1
barcelos2015transport-networks_tx008.ttl,100,1
barcelos2015transport-networks_tx011.ttl,100,1
barcelos2015transport-networks_tx012.ttl,100,1
barros2020programming_tx001.ttl,100,1
bernasconi2021ontovcm_tx001.ttl,100,1
bernasconi2021ontovcm_tx002.ttl,100,1
bernasconi2021ontovcm_tx004.ttl,100,1
bernasconi2021ontovcm_tx006.ttl,100,1
bernasconi2021ontovcm_tx007.ttl,100,1
brazilian-governmental-organizational-structures_tx001.ttl,100,1
buridan-ontology2021_tx002.ttl,100,1
buridan-ontology2021_tx003.ttl,100,1
buridan-ontology2021_tx004.ttl,100,1
cgts2021sebim_tx001.ttl,100,1
cgts2021sebim_tx002.ttl,100,1
clergy-ontology_tx001.ttl,100,1
construction-model_tx001.ttl,100,1
derave2019dpo_tx003.ttl,100,1
derave2019dpo_tx012.ttl,100,1
derave2019dpo_tx013.ttl,100,1
derave2019dpo_tx017.ttl,100,1
digitaldoctor2022_tx001.ttl,100,1
dpo2017_tx003.ttl,100,1
elikan2018brand-identity_tx001.ttl,100,1
eu-rent-refactored2022_tx001.ttl,100,1
falduci2022non-consensual-pornography_tx003.ttl,100,1
fernandez-cejas2022curie-o_tx001.ttl,100,1
fernandez-cejas2022curie-o_tx003.ttl,100,1
fonseca2022incorporating_tx001.ttl,100,1
fonseca2022incorporating_tx003.ttl,100,1
fonseca2022incorporating_tx006.ttl,100,1
fraller2019abc_tx002.ttl,100,1
fraller2019abc_tx003.ttl,100,1
fraller2019abc_tx004.ttl,100,1
franco2018rpg_tx002.ttl,100,1
freshbz2023_tx001.ttl,100,1
freshbz2023_tx003.ttl,100,1
freshbz2023_tx004.ttl,100,1
freshbz2023_tx011.ttl,100,1
freshbz2023_tx012.ttl,100,1
freshbz2023_tx014.ttl,100,1
fumagalli2022criminal-investigation_tx001.ttl,100,1
