taxonomy_name,percentage,execution_number
abrahao2018agriculture-operations_tx002.ttl,100,1
abrahao2018agriculture-operations_tx003.ttl,100,1
aguiar2019ooco_tx001.ttl,100,1
aires2022valuenetworks-geo_tx002.ttl,100,1
aires2022valuenetworks-geo_tx003.ttl,100,1
amaral2019rot_tx002.ttl,100,1
andrade2023integracao_tx002.ttl,100,1
aristotle-ontology2019_tx005.ttl,100,1
aristotle-ontology2019_tx009.ttl,100,1
aristotle-ontology2019_tx014.ttl,100,1
bank-model_tx002.ttl,100,1
bank-model_tx003.ttl,100,1
bernasconi2021ontovcm_tx002.ttl,100,1
bernasconi2021ontovcm_tx006.ttl,100,1
brazilian-governmental-organizational-structures_tx001.ttl,100,1
buridan-ontology2021_tx002.ttl,100,1
buridan-ontology2021_tx003.ttl,100,1
construction-model_tx001.ttl,100,1
digitaldoctor2022_tx001.ttl,100,1
dpo2017_tx003.ttl,100,1
elikan2018brand-identity_tx001.ttl,100,1
eu-rent-refactored2022_tx001.ttl,100,1
fonseca2022incorporating_tx001.ttl,100,1
fonseca2022incorporating_tx003.ttl,100,1
fonseca2022incorporating_tx006.ttl,100,1
fraller2019abc_tx003.ttl,100,1
franco2018rpg_tx002.ttl,100,1
freshbz2023_tx011.ttl,100,1
freshbz2023_tx012.ttl,100,1
freshbz2023_tx014.ttl,100,1
g809-2015_tx002.ttl,100,1
gi2mo_tx006.ttl,100,1
goncalves2011ecg_tx003.ttl,100,1
goncalves2011ecg_tx007.ttl,100,1
guizzardi2005ontological_tx001.ttl,100,1
guizzardi2005ontological_tx004.ttl,100,1
guizzardi2005ontological_tx005.ttl,100,1
health-organizations_tx001.ttl,100,1
health-organizations_tx002.ttl,100,1
idaf2013_tx002.ttl,100,1
idaf2013_tx003.ttl,100,1
internal-affairs2013_tx003.ttl,100,1
laurier2018rea_tx002.ttl,100,1
lindeberg2022full-ontorights_tx007.ttl,100,1
lindeberg2022full-ontorights_tx012.ttl,100,1
lindeberg2022simple-ontorights_tx002.ttl,100,1
maddalena2021ontocovid_tx009.ttl,100,1
mgic-antt2011_tx008.ttl,100,1
mgic-antt2011_tx016.ttl,100,1
mgic-antt2011_tx017.ttl,100,1
mgic-antt2011_tx018.ttl,100,1
mgic-antt2011_tx019.ttl,100,1
mgic-antt2011_tx020.ttl,100,1
mgic-antt2011_tx031.ttl,100,1
mgic-antt2011_tx051.ttl,100,1
mgic-antt2011_tx055.ttl,100,1
mgic-antt2011_tx056.ttl,100,1
mgic-antt2011_tx060.ttl,100,1
mgic-antt2011_tx067.ttl,100,1
music-ontology_tx005.ttl,100,1
neves2020nwpontology_tx006.ttl,100,1
pereira2015doacao-orgaos_tx003.ttl,100,1
plato-ontology2019_tx003.ttl,100,1
ppo-o2021_tx003.ttl,100,1
project-management-ontology_tx001.ttl,100,1
project-management-ontology_tx002.ttl,100,1
public-expense-ontology2020_tx002.ttl,100,1
public-tender_tx006.ttl,100,1
qam_tx003.ttl,100,1
qam_tx004.ttl,100,1
real-estate-ontology_tx001.ttl,100,1
repa2021public-administration_tx003.ttl,100,1
rodrigues2019ontocrime_tx002.ttl,100,1
rodrigues2019turbidite_tx002.ttl,100,1
romanenko2023what_tx003.ttl,100,1
romanenko2023what_tx006.ttl,100,1
sales2018cover_tx002.ttl,100,1
sales2018cover_tx003.ttl,100,1
santos2020valuenetworks_tx003.ttl,100,1
sikora2021online-education_tx001.ttl,100,1
sikora2021online-education_tx003.ttl,100,1
silva2012itarchitecture_tx001.ttl,100,1
silva2012itarchitecture_tx004.ttl,100,1
silva2012itarchitecture_tx005.ttl,100,1
sousa2022triponto_tx003.ttl,100,1
sousa2022triponto_tx007.ttl,100,1
spo2017_tx002.ttl,100,1
srro-ontology_tx001.ttl,100,1
stock-broker2021_tx001.ttl,100,1
tourbo2021_tx001.ttl,100,1
vieira2020weathering_tx001.ttl,100,1
