taxonomy_name,percentage,execution_number
alpinebits2022_tx010.ttl,100,1
amaral2019rot_tx003.ttl,100,1
andrade2023integracao_tx001.ttl,100,1
aristotle-ontology2019_tx001.ttl,100,1
aristotle-ontology2019_tx004.ttl,100,1
aristotle-ontology2019_tx007.ttl,100,1
aristotle-ontology2019_tx008.ttl,100,1
aristotle-ontology2019_tx010.ttl,100,1
aristotle-ontology2019_tx011.ttl,100,1
aristotle-ontology2019_tx013.ttl,100,1
aristotle-ontology2019_tx015.ttl,100,1
aristotle-ontology2019_tx017.ttl,100,1
aristotle-ontology2019_tx018.ttl,100,1
aristotle-ontology2019_tx019.ttl,100,1
aristotle-ontology2019_tx020.ttl,100,1
barcelos2013normative-acts_tx001.ttl,100,1
barcelos2013normative-acts_tx004.ttl,100,1
barcelos2013normative-acts_tx007.ttl,100,1
barcelos2015transport-networks_tx004.ttl,100,1
barcelos2015transport-networks_tx006.ttl,100,1
barcelos2015transport-networks_tx007.ttl,100,1
barcelos2015transport-networks_tx008.ttl,100,1
barcelos2015transport-networks_tx011.ttl,100,1
barcelos2015transport-networks_tx012.ttl,100,1
barros2020programming_tx001.ttl,100,1
bernasconi2021ontovcm_tx001.ttl,100,1
bernasconi2021ontovcm_tx004.ttl,100,1
bernasconi2021ontovcm_tx007.ttl,100,1
buridan-ontology2021_tx004.ttl,100,1
cgts2021sebim_tx001.ttl,100,1
cgts2021sebim_tx002.ttl,100,1
clergy-ontology_tx001.ttl,100,1
derave2019dpo_tx003.ttl,100,1
derave2019dpo_tx012.ttl,100,1
derave2019dpo_tx013.ttl,100,1
derave2019dpo_tx017.ttl,100,1
falduci2022non-consensual-pornography_tx003.ttl,100,1
fernandez-cejas2022curie-o_tx001.ttl,100,1
fernandez-cejas2022curie-o_tx003.ttl,100,1
fraller2019abc_tx002.ttl,100,1
fraller2019abc_tx004.ttl,100,1
freshbz2023_tx001.ttl,100,1
freshbz2023_tx003.ttl,100,1
freshbz2023_tx004.ttl,100,1
fumagalli2022criminal-investigation_tx001.ttl,100,1
gi2mo_tx002.ttl,100,1
gi2mo_tx005.ttl,100,1
goncalves2011ecg_tx011.ttl,100,1
guizzardi2022ufo_tx002.ttl,100,1
guizzardi2022ufo_tx004.ttl,100,1
guizzardi2022ufo_tx009.ttl,100,1
haridy2021egyptian-e-government_tx003.ttl,100,1
idaf2013_tx004.ttl,100,1
internal-affairs2013_tx001.ttl,100,1
internal-affairs2013_tx006.ttl,100,1
khantong2020ontology_tx002.ttl,100,1
kostov2017towards_tx002.ttl,100,1
kritz2020ontobg_tx004.ttl,100,1
kritz2020ontobg_tx006.ttl,100,1
kritz2020ontobg_tx008.ttl,100,1
kritz2020ontobg_tx009.ttl,100,1
kritz2020ontobg_tx010.ttl,100,1
library_tx002.ttl,100,1
library_tx003.ttl,100,1
lindeberg2022full-ontorights_tx001.ttl,100,1
lindeberg2022full-ontorights_tx002.ttl,100,1
lindeberg2022full-ontorights_tx003.ttl,100,1
lindeberg2022full-ontorights_tx006.ttl,100,1
lindeberg2022full-ontorights_tx009.ttl,100,1
lindeberg2022full-ontorights_tx010.ttl,100,1
lindeberg2022full-ontorights_tx011.ttl,100,1
maddalena2021ontocovid_tx003.ttl,100,1
mgic-antt2011_tx010.ttl,100,1
mgic-antt2011_tx059.ttl,100,1
mgic-antt2011_tx061.ttl,100,1
mgic-antt2011_tx062.ttl,100,1
music-ontology_tx001.ttl,100,1
niederkofler2019dssapple_tx003.ttl,100,1
online-mentoring_tx001.ttl,100,1
online-mentoring_tx002.ttl,100,1
plato-ontology2019_tx001.ttl,100,1
plato-ontology2019_tx002.ttl,100,1
plato-ontology2019_tx007.ttl,100,1
ppo-o2021_tx002.ttl,100,1
ppo-o2021_tx006.ttl,100,1
recommendation-ontology_tx002.ttl,100,1
romanenko2023what_tx001.ttl,100,1
social-contract_tx002.ttl,100,1
sousa2022triponto_tx005.ttl,100,1
sportbooking2021_tx001.ttl,100,1
sportbooking2021_tx003.ttl,100,1
tourbo2021_tx002.ttl,100,1
unimatch-ontology2022_tx001.ttl,100,1
unimatch-ontology2022_tx002.ttl,100,1
unimatch-ontology2022_tx003.ttl,100,1
zanetti2019orm-o_tx001.ttl,100,1
zanetti2019orm-o_tx005.ttl,100,1
