class_name,class_original_classification,classification_final_list
Acting,kind,not
Action,kind,is
Action_Draft,kind,not
Action_Programming,kind,not
Algorithm,kind,not
Area_Control,kind,can
Area_Enclosure,kind,can
Area_Movement,kind,not
Assymetry,kind,can
Auction,kind,not
Betting,kind,not
Card_Draft,kind,not
Chit-pull,kind,not
Co-operative_Play,kind,can
Colection,kind,not
Commodity_Speculation,kind,not
Deck,kind,not
Dice_Rolling,kind,not
Draft,kind,not
Expression,kind,not
Gamble,kind,not
Game_Balance,kind,can
Goal,kind,can
Grid_Movement,kind,not
Impulse,kind,can
Line_Drawing,kind,not
Memory,kind,can
Movement,kind,not
Network_Building,kind,not
Partnership,kind,can
Pattern_Building,kind,not
Pattern_Recognition,kind,can
Phase,kind,can
Pick-up_and_Delivery,kind,can
Player_Elimination,kind,can
Point-toPointMovement,kind,not
Pool_Building,kind,not
Press_Your_Luck,kind,not
Random_Draw,kind,not
Resource_Management,kind,can
Rock-Paper-Scizors,kind,can
Role_Playing,kind,not
Ruleset,kind,can
Secret_Unit_Depoyment,kind,not
Set_Colection,kind,not
Simultaneous_Action_Selection,kind,not
Singing,kind,not
Stock_Holding,kind,not
Storytelling,kind,not
Take_That,kind,not
Teams,kind,can
Tile_Placement,kind,not
Time-Track,kind,can
Trading,kind,not
Trick-Taking,kind,not
Variable_Phase_Order,kind,can
Variable_Player_Powers,kind,can
Voting,kind,not
