execution_number,input_class_name,input_class_stereotype
1,Able_Person,phase
2,Active_Agent,role
3,Adult,phase
4,Agent,mixin
5,Collective_Social_Agent,category
6,Crime_Agent,rolemixin
7,Crime_Author,role
8,Criminally_Incapable,phase
9,Criminally_Liable,phase
10,Guaranteed,role
11,Guarantor,role
12,Guarantor_Able_Person,role
13,Institutional_Agent,category
14,Juridical_Person,kind
15,Jurisdiction_Agent,rolemixin
16,Jurisdictional_State,role
17,Legal_Agent,rolemixin
18,Mentally_Healthy,phase
19,Mentally_Sick,phase
20,Natural_Person,kind
21,Passive_Agent,rolemixin
22,Passive_Juridical_Person,role
23,Passive_Person,role
24,Passive_Society,role
25,Physical_Agent,category
26,Social_Agent,category
27,Society,kind
28,State,kind
29,Underage,phase
