execution_number,input_class_name,input_class_stereotype
1,Absused_Person,role
2,Adult,phase
3,Child,phase
5,Common_Member,role
6,Criminal_Organisation,subkind
7,Deceased_Person,phase
8,Detained,rolemixin
9,Detained_Group,role
10,Detained_person,role
12,Duty-bearer_representative,role
13,E-OPL:_Complex_Organisation,subkind
14,E-OPL:_Complex_Organisational_Unit,subkind
15,E-OPL:_Multiorganisation,subkind
18,E-OPL:_Simple_Organisation,subkind
19,E-OPL:_Simple_Organisational_Unit,subkind
20,E-OPL:_Standalone_Organisation,subkind
22,Ethnic_Group,subkind
23,Force_At_Work,rolemixin
24,Formal_Organisation,subkind
26,Head_Member,role
27,Human_Rights_Mechanism,subkind
29,Informal_Organisation,subkind
30,Information_Exchange_Record,subkind
32,Legal_Perpetrator,rolemixin
34,Living_Person,phase
35,Material_Absuser,role
36,Monitoring_Event_Participant,role
37,Monitoring_Record,kind
38,Monitoring_Staff,role
39,Moral_Duty-bearer,rolemixin
41,Natural_Person,kind
42,Observation_Record,subkind
43,Official_Legal_Process,kind
44,Official_Legal_Record,kind
45,Organisation_Member,role
46,Religious_Group,subkind
48,State_Authority,subkind
49,UFO-A:_Non-Agentive_Substantial,category
50,UFO-A:_Substantial,category
51,UFO-C:_Agent,category
53,UFO-C:_Human_Agent,category
56,UFO-C:_Social_Object,category
58,UFO-L:_Agentive_Legal_Institution,category
59,UFO-L:_Legal_Agent,category
60,UFO-L:_Legal_Object,category
61,UFO-L:_Singular_Legal_Agent,category
62,Witness,role
