execution_number,input_class_name,input_class_stereotype
1,Absused_Person,role
2,Adult,phase
3,Child,phase
5,Common_Member,role
6,Criminal_Organisation,subkind
7,Deceased_Person,phase
9,Detained_Group,role
10,Detained_person,role
12,Duty-bearer_representative,role
13,E-OPL:_Complex_Organisation,subkind
14,E-OPL:_Complex_Organisational_Unit,subkind
15,E-OPL:_Multiorganisation,subkind
18,E-OPL:_Simple_Organisation,subkind
19,E-OPL:_Simple_Organisational_Unit,subkind
20,E-OPL:_Standalone_Organisation,subkind
22,Ethnic_Group,subkind
24,Formal_Organisation,subkind
26,Head_Member,role
27,Human_Rights_Mechanism,subkind
29,Informal_Organisation,subkind
30,Information_Exchange_Record,subkind
34,Living_Person,phase
35,Material_Absuser,role
36,Monitoring_Event_Participant,role
38,Monitoring_Staff,role
42,Observation_Record,subkind
45,Organisation_Member,role
46,Religious_Group,subkind
48,State_Authority,subkind
62,Witness,role
