class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Adult,phase,phase,False,True,False,1,0
Child,phase,phase,False,True,False,1,0
Elder,phase,phase,False,True,False,1,0
HealthProfessional,role,role,False,True,False,1,0
Man,subkind,subkind,False,True,False,1,0
Patient,role,role,False,True,False,1,0
Person,kind,kind,True,False,False,0,9
PregnantWoman,phase,phase,False,True,False,2,0
Teenager,phase,phase,False,True,False,1,0
Woman,subkind,subkind,False,False,True,1,1
